OBJECTID,contract_number,contract_description,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1
2382,91800303,FAIRVIEW AREA WATER SYSTEM IMPROV PROJECT         ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,3704100,4259715,11334,"T&K UTILITIES, INC.",2381
2383,92100330,GETAC WARRANTY                                    ,CLOSED,GS   (GEN SERV),,2021/04/26 00:00:00+00,57653.75,57653.75,36463,"GETAC, INC",2382
2384,92200238,OVER SIGHT & MANAGEMENT                           ,POSTED,GS   (GEN SERV),,2022/02/21 00:00:00+00,620013,620013,36673,"MARATHON HEALTH PARENT, LLC",2383
2385,91200212,ENVIRONMENTAL CONSULTANT APD FIRING RANGE         ,CLOSED,GS   (GEN SERV),,2013/01/04 00:00:00+00,29990,29876.5,8280,"ECS SOUTHEAST, LLP",2384
2386,92100219,ADVANCED INFRASTRUCTURE PROCUREMENT SERVICES      ,POSTED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2021/08/20 00:00:00+00,175520,175520,4203,CAVANAUGH & ASSOCIATES PA,2385
2387,92100459,411 DEAVERVIEW DEMOLITION .                       ,CLOSED,CON  (CONSTUCT/R),,2022/01/18 00:00:00+00,89850,89850,1863,NEO CORPORATION,2386
2388,91100683,MICHAEL LEE LAMB                                  ,CLOSED,GENERAL,,2011/05/24 00:00:00+00,500,1300,11542,MICHAEL L LAMB,2387
2389,91900143,WEST ASHEVILLE BAPTIST CHURCH LEASE - POLICE PARK ,CLOSED,LS   (LEASE SVCS),,2019/08/05 00:00:00+00,50000,35075,30285,W. ASHEVILLE BAPTIST,2388
2390,91500078,GYM PAINTING - L. CRUMP SHILOH COMPLEX            ,CLOSED,GS   (GEN SERV),,2014/11/18 00:00:00+00,20500,19822,8674,ASHEVILLE PAINTING CO.,2389
2391,92100360,FY 20/21 FINANCIAL CAPABILITIES PROGRAM           ,POSTED,HUD (GEN SERV-HUD),CDBG,2021/08/20 00:00:00+00,25000,25000,560,ONTRACK FINANCIAL ED & COUNSEL,2390
2392,91800213,YEARLY CONTRACT- MOU FBRMPO FOR ALL REGIONS -UPWP ,CLOSED,GS   (GEN SERV),,2020/03/12 00:00:00+00,18000,16334.94,1535,LAND-OF-SKY REGIONAL COUNCIL,2391
2393,91500284,TEMP SERVICES FOR PURCHASING DIVISION             ,CLOSED,GS   (GEN SERV),,2017/06/08 00:00:00+00,9000,17290,9026,BEVERLY ANN KING,2392
2394,91400071,BC ENTERTAINMENT - KEN DENSON'S TINY              ,CLOSED,ENT  (ENTERTAIN),,2013/07/23 00:00:00+00,11000,11000,17227,"KARL DENSON TINY UNIVERSE, INC.",2393
2395,91000346,LABOR TO INSTALL EQUIPMENT EXPLORERS & RANGERS    ,CLOSED,GENERAL,,2010/02/26 00:00:00+00,1440,1440,4527,WEST CHATHAM WARNING DEVICES,2394
2396,91000124,21 CCLC INSTRUCTOR - CHANGE ORDER TO INCREASE PO  ,CLOSED,INS  (INSTRUCTOR),,2010/06/09 00:00:00+00,2100,4475,7401,LETITIA BROMELL-ROSS,2395
2397,91600259,ASHEVILLE GREENWORKS - SPF GRANT FY 15-16         ,CLOSED,GS   (GEN SERV),,2016/08/01 00:00:00+00,15350,15350,2142,ASHEVILLE GREENWORKS,2396
2398,91100431,REPAIR ROOF AT STEPHEN'S LEE CENTER               ,CLOSED,GS   (GEN SERV),,2010/09/16 00:00:00+00,5370,5370,11118,BODODD CONSTRUCTION LLC,2397
2399,91900163,T&T ENTERPRISES PHASE ONE ESA                     ,CLOSED,PRO  (PRO SERVIC),,2019/05/24 00:00:00+00,2300,2300,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",2398
2400,92200203,REPAIR TO GENERATOR AT ENKA LAKE PS               ,CREATED,GS   (GEN SERV),,2021/10/15 00:00:00+00,7340.21,7340.21,3385,CUMMINS ATLANTIC LLC,2399
2401,91600123,3RD PARTY CLAIM HANDLING ADMIN WORK COMP          ,CLOSED,GS   (GEN SERV),,2018/06/19 00:00:00+00,34745,60803,5861,PMA MANAGEMENT CORPORATION,2400
2402,91400205,CONSULTATION AND CONSTRUCTION TESTING AZALEA RD   ,CLOSED,PRO  (PRO SERVIC),,2016/03/31 00:00:00+00,43800,34820.25,4575,BUNNELL-LAMMONS ENGINEERING,2401
2403,91800277,BUNCOMBE COUNTY WEATHERIZATION PROGRAM            ,CLOSED,GS   (GEN SERV),,2020/06/16 00:00:00+00,15000,15000,416,BUNCOMBE COUNTY FINANCE DEPT,2402
2404,91900104,SUPPLEMENT TO MASTER AGREEMENT ONCALL-SEE 91800410,CLOSED,PRO  (PRO SERVIC),,2020/04/28 00:00:00+00,38953,23571.16,29854,"WITHERSRAVENEL, INC.",2403
2405,91400095,PREVENTATIVE MAINT ON P & R GENERATORS            ,CLOSED,GS   (GEN SERV),,2015/06/10 00:00:00+00,15742.82,15739,17372,"SURE-GEN OPERATIONS, LLC",2404
2406,92100072,MOUNTAIN CAPITAL COMMUNITY FUND (MCCF)            ,CLOSED,GS   (GEN SERV),SERVICE,2021/06/08 00:00:00+00,250000,250000,31362,SELF-HELP VENTURES FUND,2405
2407,91200072,BELE CHERE FENCE RENTAL                           ,CLOSED,RNT  (EQUIP RENT),,2011/07/19 00:00:00+00,3505.56,3505.56,5773,NATIONAL CONSTRUCTION RENTALS,2406
2408,91100667,VIRIS VIOLA CLARKE                                ,CLOSED,GENERAL,,2011/06/08 00:00:00+00,1200,975,11473,"CLARKE, VIRIS VIOLA",2407
2409,91100240,FY11 ANNUAL KEYFILE MAINTENANCE RENEWAL           ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,14020,0,23,IMAGING TECHNOLOGIES,2408
2410,91600274,INSULATE/CONDITION CRAWL SPACE ST.LEE             ,CLOSED,CON  (CONSTUCT/R),,2017/03/24 00:00:00+00,41763,40925,24481,"SEALING AGENTS WATERPROOFING, INC.",2409
2411,91000379,                                                  ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,49000,49000,6055,RIVERTOP CONTRACTING INC,2410
2412,91000476,MONTHLY PICKUP OF SHREDDED MATERIALS FOR CID      ,CLOSED,GENERAL,,2012/06/27 00:00:00+00,1000,1561.82,6072,"AMERICAN SECURITY SHREDDING, I",2411
2413,91800169,INSTALL MERAKI CLOUD MANAGED ACCESS POINTS FOR USC,CLOSED,GS   (GEN SERV),,2018/05/29 00:00:00+00,52753.63,52753.63,21051,"BROOKS NETWORK SERVICES, LLC",2412
2414,92200127,HAYWOOD ST .- 343 & 357 W. HAYWOOD ST. GRANT AGRMT,POSTED,GS   (GEN SERV),AFFORDABLE HOUSE,2021/08/20 00:00:00+00,71000,71000,37810,HAYWOOD STREET COMMUNITY DEVELOPMENT,2413
2415,91000319,REYNOLDS MHP WATER SYSTEM REPLACEMENT             ,CLOSED,CON  (CONSTUCT/R),,2010/09/13 00:00:00+00,167496,172293.52,7560,HUNTLEY CONSTRUCTION COMPANY,2414
2416,91800389,STAFFING ASSISTANCE                               ,CLOSED,GS   (GEN SERV),,2018/07/17 00:00:00+00,2250,2250,9026,BEVERLY ANN KING,2415
2417,91100751,FREDDY MITCHELL AND ASSOCIATES                    ,CLOSED,GS   (GEN SERV),,2013/05/23 00:00:00+00,66472,74970.15,9210,FREDDY MITCHELL AND ASSOCIATES,2416
2418,91100066,BC HEADLINER - THE FABULOUS THUNDERBIRDS          ,CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,7500,7500,10703,THE FABULOUS THUNDERBIRDS,2417
2419,91000406,ATHLETIC OFFICIAL - CRAIG BENHAM                  ,CLOSED,PRO  (PRO SERVIC),,2019/03/27 00:00:00+00,906,4442,7729,CRAIG M BENHAM,2418
2420,91100842,JULY 3RD FIREWORKS                                ,CLOSED,GS   (GEN SERV),,2011/06/21 00:00:00+00,15000,15000,10693,ZAMBELLI FIREWORKS MANUFACTURING CO.,2419
2421,91000209,                                                  ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,2450,2450,812,DODSON BROS EXTERMINATING,2420
2422,92000284,19-20 CDBG FUNDS FOR GETTING BACK TO THE BASICS   ,CLOSED,HUD (GEN SERV-HUD),CDBG,2020/08/11 00:00:00+00,14629,14629,8976,"GETTING BACK TO THE BASICS, INC.",2421
2423,91000595,TRAINING:  BULLYING STARTING WITH MAN IN MIRROR   ,CLOSED,INS  (INSTRUCTOR),,2010/08/19 00:00:00+00,200,200,10506,"BALDWIN, SHERRY CLAYTON",2422
2424,91400303,"ANNUAL FLOW TESTING AT NF, MR AND WILLIAM DEBRUHL ",CLOSED,GS   (GEN SERV),,2019/03/27 00:00:00+00,13750,16750,19034,"HYDROMAX USA, LLC",2423
2425,91000460,AMERICORPS*VISTA                                  ,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,4000,4000,10229,THE ASHEVILLE CITY SCHOOLS FOUNDATION,2424
2426,91700333,CATERING FOR 2017 WELLNESS FAIR/EMPLOYEE PICNIC   ,CLOSED,GS   (GEN SERV),,2017/08/04 00:00:00+00,6770,6770,20892,MAMACITAS,2425
2427,91500110,USCC PARKING GARAGE FIRE SPRINKLER PANEL          ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,2575,2325,7265,SIMPLEXGRINNELL,2426
2428,91100101,ANNUAL MAINTENANCE ON GARAGE/GATE EQUIPMENT       ,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,57777,56822,609,CINCINNATI SYSTEMS INC,2427
2429,91700184,CDBG YWCA OF ASHEVILLE DROP IN CHILD CARE FY 16-17,CLOSED,HUD (GEN SERV-HUD),CDBG,2017/06/29 00:00:00+00,13000,13000,2926,Y W C A,2428
2430,91800258, MOBILE APP FOR PARKS & REC YEAR 2 OF RENEWAL     ,CLOSED,GS   (GEN SERV),,2020/02/13 00:00:00+00,13176,19764,29194,"APPCITYLIFE, INC    ",2429
2431,92000322,ILLUSTRATOR FOR TOWN BRANCH                       ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,5000,20000,33786,IRENE MORRIS,2430
2432,91300131,ANNUAL SPRINKLER MONITORING/INSPECTION            ,CLOSED,GS   (GEN SERV),,2014/05/20 00:00:00+00,8680,7961.5,7265,SIMPLEXGRINNELL,2431
2433,91000582,TO PERFORM MOTHER'S APPRECIATION DAY @ NATURE CENT,CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,250,250,7306,MOUNTAIN MARIONETTES,2432
2434,91200276,IWATCH MULTIPLE GENERATOR LOCATIONS               ,CLOSED,CON  (CONSTUCT/R),,2012/03/20 00:00:00+00,11774.2,11774.2,3385,CUMMINS ATLANTIC LLC,2433
2435,92200158,WETLANDS MONITORING FOR RADTIP                    ,POSTED,GS   (GEN SERV),,2021/09/01 00:00:00+00,58033,58033,1377,NC STATE UNIVERSITY,2434
2436,91100362,SUBSTANCE ABUSE TESTING - NTA                     ,CLOSED,GS   (GEN SERV),,2014/06/17 00:00:00+00,6000,5886,1908,NATIONWIDE TESTING ASSOCIATION,2435
2437,92100291,UNCA: CHIEF OFFICER ACADEMY. CLOSE                ,POSTED,GS   (GEN SERV),,2021/08/11 00:00:00+00,6000,6000,18317,UNIVERSITY OF NORTH CAROLINA A,2436
2438,91900405,CONTRACTS ADMINISTRATION AUDIT                    ,CLOSED,GS   (GEN SERV),,2019/08/16 00:00:00+00,32000,32000,32038,"MAULDIN & JENKINS, LLC",2437
2439,91000348,CITY COUNCIL RETREAT FACILITATOR                  ,CLOSED,GS   (GEN SERV),,2010/03/12 00:00:00+00,4000,4182.96,5763,SCHOOL OF GOVERNMENT,2438
2440,91400262,FIRE STATION 8 SHINGLES REPLACEMENT               ,CLOSED,CON  (CONSTUCT/R),,2014/05/21 00:00:00+00,25750,25750,18205,"SPARTAN ROOFING CO., INC.",2439
2441,91700240,PRINTING SERVICES FOR ART TRANSIT MAPS.           ,CLOSED,GS   (GEN SERV),,2020/04/28 00:00:00+00,4884.86,22036.08,16143,"CLARK'S PRINTING SERVICE, INC.",2440
2442,91600029,INDEPENDENT LEGAL COUNCIL FOR CIVIL SERVICE BOARD ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,20000,89500,22590,"CAMPBELL SHATLEY, PLLC",2441
2443,92200172,INSURANCE BROKER SERVICES                         ,POSTED,GS   (GEN SERV),,2021/09/13 00:00:00+00,29900,29900,1362,INSURANCE SERVICE OF ASHEVILLE,2442
2444,91100223,8 BENT TREE RD CONNECT TO WATER LINE              ,CLOSED,GS   (GEN SERV),,2010/07/21 00:00:00+00,6854,6854,2400,S.E.STEWART & SON PLUMBING,2443
2445,92200266,TREE REMOVAL FOR CITY ARBORIST                    ,POSTED,GS   (GEN SERV),,2021/12/06 00:00:00+00,18895.75,18895.75,33281,"CATAWBA TREE EXPERTS,INC.",2444
2446,91500148,"DESIGN/BUILD RESTROOM & PAVILIAN, NATURE CENTER   ",CLOSED,CON  (CONSTUCT/R),,2016/02/17 00:00:00+00,132900,132900,5260,"B ALLEN CONSTRUCTION, INC.",2445
2447,91100561,MICHAEL OLIVIER- GRAPHIC DESIGN SERVICES          ,CLOSED,GS   (GEN SERV),,2014/06/24 00:00:00+00,1500,1485,11348,MICHAEL L. OLIVIER,2446
2448,92000424,MITIGATION FOR CLEANING AND DISINFECTION          ,CLOSED,GS   (GEN SERV),,2021/04/28 00:00:00+00,89900,47312,33820,ABKIND LLC DBA BIO-ONE ASHEVILLE,2447
2449,91100802,SUMMER INTERN - COURTNEY CARPENTER                ,CLOSED,GENERAL,,2012/08/30 00:00:00+00,4000,4000,11901,COURTNEY CARPENTER,2448
2450,91200354,RADIO ADVERTISING                                 ,CLOSED,GS   (GEN SERV),,2016/06/10 00:00:00+00,17920,29634.06,20526,IHEARTMEDIA AND ENTERTAINMENT INC.,2449
2451,91600295,2025 COMPREHENSIVE PLANNING PLAN                  ,CLOSED,GS   (GEN SERV),,2020/06/16 00:00:00+00,227345,260822.23,25003,"SKIDMORE OWINGS & MERRILL NORTH CAROLINA,PLLC",2450
2452,91300183,410 REPLACEMENT STEPHENS LEE                      ,CLOSED,CON  (CONSTUCT/R),,2012/11/20 00:00:00+00,52702,52702,2152,R & W INC,2451
2453,91300125,THREE MONTH TEST OF PAY-BY-PHONE VALIDATION SYSTEM,CLOSED,GS   (GEN SERV),,2014/06/02 00:00:00+00,4200,248.25,15130,"PASSPORT LABS, INC.",2452
2454,91100677,INSTALL FENCING @ RIVERSIDE CEMETERY              ,CLOSED,GS   (GEN SERV),,2011/01/26 00:00:00+00,4941.56,4941.56,193,ASHEVILLE CONTRACTING COMPANY,2453
2455,91900078,FIBER CONNECTIVITY                                ,CLOSED,GS   (GEN SERV),,2019/06/04 00:00:00+00,9811.43,9811.43,7680,ERC BROADBAND,2454
2456,91100458,FIRE DEPT LOST REVENUE                            ,CLOSED,GENERAL,,2010/09/27 00:00:00+00,9349,9349,2340,SKYLAND VOLUNTEER FIRE DEPT,2455
2457,91000303,FENCING FOR SECURITY AT PUMPT STATIONS & GENERATOR,CLOSED,GS   (GEN SERV),,2010/02/18 00:00:00+00,12366,12366,10111,HOLLOWAY FENCE CO.,2456
2458,91400285,SIDEWALK INSTALLATION ON N. LOUISIANA AVE PHASE IV,CLOSED,CON  (CONSTUCT/R),,2015/06/16 00:00:00+00,126820,132883.57,10431,ARMEN CONSTRUCTION LLC.,2457
2459,92000183,HAYWOOD/PAGE MASTER CONCEPT PLAN                  ,CLOSED,PRO  (PRO SERVIC),,2021/06/07 00:00:00+00,292000,292000,33140,NELSON BYRD WOLTZ LLC,2458
2460,91000318,BACKGROUND CHECK SERVICES                         ,CLOSED,GS   (GEN SERV),,2012/07/31 00:00:00+00,5835,5835,7284,INTELLENET INC,2459
2461,91600089,DOWNTOWN CLEAN AND GREEN - CLEAN SIDEWALKS        ,CLOSED,GS   (GEN SERV),,2019/05/02 00:00:00+00,299999,800972.08,6055,RIVERTOP CONTRACTING INC,2460
2462,92100095,DRINKING & WASTEWATER ANALYSIS                    ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,10000,20732,4983,ENVIRONMENTAL TESTING SOLUTION,2461
2463,91100471,                                                  ,CLOSED,GENERAL,,2010/09/29 00:00:00+00,54,54,11163,"JONES, TIFFANY",2462
2464,91100820,CONTRACT FOR KAI NELSON                           ,CLOSED,GS   (GEN SERV),,2012/11/15 00:00:00+00,45000,87635.72,11135,"EXECLINK, LLC",2463
2465,91900321,PHYSCIAN SERVICES FOR EMPLOYEE HEALTH CENTER      ,CLOSED,GS   (GEN SERV),,2021/07/20 00:00:00+00,114000,275500,25047,"FLETCHER HOSPITAL, INC, DBA  ADVENTHEALTH  HENDERS",2464
2466,92000340,1095 PRODUCTION AND MAILING SERVICE               ,CLOSED,GS   (GEN SERV),,2020/06/01 00:00:00+00,8100,8100,29038,"EMPLOYEE TECH, INC",2465
2467,91300177,ONE YOUTH AT A TIME - OUTSIDE AGENCY GRANT 12-13  ,CLOSED,GS   (GEN SERV),,2013/08/07 00:00:00+00,5440,5440,1983,ONE YOUTH AT A TIME,2466
2468,92100292,ART SCHEDULING AND PLANNING SOFTWARE PLATFORM     ,POSTED,GS   (GEN SERV),,2022/01/12 00:00:00+00,39000,39000,20614,"REMIX SOFTWARE, INC.",2467
2469,91200039,SURVEY ON FALCONHURST NATURAL AREA                ,CLOSED,PRO  (PRO SERVIC),,2011/07/08 00:00:00+00,4600,4600,1754,MATTERN & CRAIG,2468
2470,91600312,CLINGMAN FOREST AND TOWN BRANCH GREENWAY          ,CLOSED,PRO  (PRO SERVIC),,2018/02/07 00:00:00+00,82000,57880.84,6842,SITEWORK STUDIOS,2469
2471,91400294,BULLMAN PARK ROOF MEMBRANE                        ,CLOSED,CON  (CONSTUCT/R),,2014/06/04 00:00:00+00,4800,4800,18205,"SPARTAN ROOFING CO., INC.",2470
2472,92100087,ON-LINE INVESTIGATIVE SERVICES                    ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,10000,17500,20976,TRANSUNION RISK AND ALTERNATIVE DATA SOLUTIONS INC,2471
2473,91900335,LEASING OF 20 CHURCH PARKING SPACES FOR COA       ,CLOSED,LS   (LEASE SVCS),,2019/08/16 00:00:00+00,12000,12000,29648,FIRST BAPTIST CHURCH OF ASHEVILLE,2472
2474,91400282,REPLACE THE DRY FIRE SPRINKLER SYSTEM AT CIVIC CEN,CLOSED,CON  (CONSTUCT/R),,2015/08/04 00:00:00+00,25974,25974,866,"DIBOCO FIRE SPRINKLERS, INC",2473
2475,92000240,4 FLOOR REMODEL                                   ,CLOSED,CON  (CONSTUCT/R),,2019/11/06 00:00:00+00,17045,17045,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,2474
2476,91800422,REPAIR OF FIRE TRUCK # 949                        ,CLOSED,GS   (GEN SERV),,2019/04/24 00:00:00+00,10000,20054.99,15786,"ATLANTIC EMERGENCY SOLUTIONS, INC.",2475
2477,91300297,BELE CHERE TENT RENTALS                           ,CLOSED,RNT  (EQUIP RENT),,2013/10/04 00:00:00+00,15602.5,15466.5,14661,PROFESSIONAL PARTY RENTALS,2476
2478,92100062,CARPET CLEANING OF 3 CITY BUILDINGS               ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,19800,39600,27870,WORKPLACE SOLUTIONS LLC,2477
2479,91900366,9 MILLER RD - FS 4 INTERIOR DESIGN                ,CLOSED,PRO  (PRO SERVIC),,2020/04/13 00:00:00+00,30000,19997.5,31843,"SUMMIT DESIGN AND ENGINEERING SERVICES, PLLC",2478
2480,92000057,MLK ROOF REPLACEMENT                              ,CLOSED,CON  (CONSTUCT/R),,2019/08/16 00:00:00+00,24500,24500,32646,DAN A. GREGG,2479
2481,91100253,PREVENTATIVE MAINTENANCE FOR AUTOCLAVE- NORTH FORK,CLOSED,GENERAL,,2010/07/28 00:00:00+00,2880,2880,5047,GETINGE USA INC,2480
2482,92200272,DIGITALPERSONA LICENSES                           ,CLOSED,GS   (GEN SERV),,2022/02/18 00:00:00+00,6010.35,6010.35,36503,HID GLOBAL CORPORATION,2481
2483,91600236,ANGLE STREET BRICK SIDEWALK REHABILITATION        ,CLOSED,CON  (CONSTUCT/R),,2016/06/27 00:00:00+00,194399,156257.32,589,COOPER CONSTRUCTION INC,2482
2484,91100684,6 WEEK HANDLER TRAINING WITH K-9                  ,CLOSED,GENERAL,,2011/01/28 00:00:00+00,4000,4000,2554,"SOUTHERN POLICE CANINE, INC.",2483
2485,91700045,FUEL ISLAND REFURBISHMENT                         ,CLOSED,CON  (CONSTUCT/R),,2017/05/18 00:00:00+00,39645,39645,2300,SOUTHERN PUMP & TANK CO,2484
2486,91800357,EXECUTIVE COACHING FOR BARBARA WHITEHORN          ,CLOSED,GS   (GEN SERV),,2019/06/14 00:00:00+00,9500,9500,29611,LISA A. COBURN      ,2485
2487,92000381,AWS CONSULTING AND CLOUD MIGRATION                ,CLOSED,GS   (GEN SERV),,2020/11/11 00:00:00+00,6000,6000,34216,JEREMIAH ROBINSON,2486
2488,91100627,PROVIDE 12 HR FULL-TURNING MOVEMENT TRAFFIC COUNT ,CLOSED,GENERAL,,2010/12/13 00:00:00+00,720,720,11052,JM TEAGUE ENGINEERING & CONSULTING,2487
2489,92100357,FY 20/21 TRINITY PLACE                            ,CLOSED,HUD (GEN SERV-HUD),CDBG,2021/08/04 00:00:00+00,16332,16332,7049,CARING FOR CHILDREN,2488
2490,91300295,ON-CALL PROFESSIONAL SERVICES STORMWATER ENGINEER ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,89000,214000,1706,MCGILL ASSOCIATES PA,2489
2491,91500107,CLEAN 2 AIR HANDLERS                              ,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,24796,24796,1188,M B HAYNES CORPORATION,2490
2492,91100462,EMORY ELECTRIC- CITY HALL LIGHTING RETROFIT       ,CLOSED,GS   (GEN SERV),,2011/02/16 00:00:00+00,50786.4,53538.12,916,EMORY ELECTRIC INC,2491
2493,92100412,FOREST HILL/CALDONIA STORMWATER IMPROVEMENTS'     ,POSTED,CON  (CONSTUCT/R),,2022/01/31 00:00:00+00,645948,645948,9262,"MOORE & SONS SITE CONTRACTORS, INC.",2492
2494,91500328,P25 PUBLIC RADIO SYSTEM                           ,CLOSED,GS   (GEN SERV),,2019/10/28 00:00:00+00,4397762,4373567.87,11516,"MOTOROLA SOLUTIONS, INC.",2493
2495,92200075,HB CDBG CV AGREEMENT FOR STAFFING .               ,POSTED,HUD (GEN SERV-HUD),CDBG CV,2021/12/22 00:00:00+00,110000,165000,1211,HOMEWARD BOUND,2494
2496,91300205,STATION 7 REPAIR                                  ,CLOSED,CON  (CONSTUCT/R),,2013/01/14 00:00:00+00,15707,15707,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,2495
2497,91900359,MOUNTAIN HOUSING  EMERGENCY HOME REPAIR FY 18-19  ,CLOSED,HUD (GEN SERV-HUD),CDBG,2021/06/07 00:00:00+00,72500,72500,1736,MOUNTAIN HOUSING OPPORTUNITIES,2496
2498,92000285,19-20 HOME DIVERSION FUNDS FOR HOMEWARD BOUND     ,POSTED,HUD (GEN SERV-HUD),HOME,2021/08/20 00:00:00+00,20000,20000,1211,HOMEWARD BOUND,2497
2499,91500201,ARMORED CAR USE FOR ART FARES                     ,CLOSED,GS   (GEN SERV),,2018/08/13 00:00:00+00,3399,18785.56,20007,"DUNBAR ARMORED, INC.",2498
2500,91000270,MOTOROLA MOSCAD ANNUAL MAINTENANCE FY10           ,CLOSED,GS   (GEN SERV),,2010/02/12 00:00:00+00,41175,41175,1640,MOTOROLA INC,2499
2501,91900136,EAGLE MARKET ST DEV. CORP IDA SM BUS FY 17-18     ,POSTED,HUD (GEN SERV-HUD),CDBG,2021/08/20 00:00:00+00,140000,140000,10035,EAGLE MARKET STREETS DEVELOPMENT,2500
2502,91900446,REPLACE OF DAMAGED GATE INSTALLED BY CINCINNATI SY,CLOSED,GS   (GEN SERV),,2019/10/24 00:00:00+00,5105,4968.98,609,CINCINNATI SYSTEMS INC,2501
2503,91200260,GRANT CENTER VIDEO SYSTEM                         ,CLOSED,GS   (GEN SERV),,2014/06/17 00:00:00+00,11782.58,12599.03,5540,CAT NETWORKS & SECURITY,2502
2504,92200126,VANCE GAP LANDSLIDE REPAIR                        ,POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,286060.5,286060.5,2751,"VAUGHN & MELTON CONSULTING ENGINEERS,INC.",2503
2505,91900317,HOMEWARD BOUND - AHOPE FY 18-19                   ,CLOSED,HUD (GEN SERV-HUD),CDBG,2019/06/28 00:00:00+00,47805,47805,1211,HOMEWARD BOUND,2504
2506,91100664,PAINTING OF SNACK SHOP                            ,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,7070,8410,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,2505
2507,91600301,FULL PROJECT MAP FOR RADTIP                       ,CLOSED,PRO  (PRO SERVIC),,2017/06/07 00:00:00+00,3500,5663,18326,"SITE DESIGN STUDIO, PLLC",2506
2508,91700287,2-MONTFORD SHELTERS CONSTRUCTION/INSTALLATION     ,CLOSED,CON  (CONSTUCT/R),,2017/06/09 00:00:00+00,25086.25,25086.25,26725,IRON MAIDEN STUDIOS,2507
2509,92000078,ACTUARIAL STUDIES FOR LEO & OPEB                  ,CLOSED,GS   (GEN SERV),,2021/06/08 00:00:00+00,8900,9858.85,7666,CAVANAUGH MACDONALD,2508
2510,91300151,CARBOARD COLLECTION FROM VARIOUS CITY LOCATIONS   ,CLOSED,GS   (GEN SERV),,2015/08/14 00:00:00+00,40757.52,89152.6,11254,WASTE PRO,2509
2511,92000326,SURVERY AND EASEMENTS FOR CHARLOTTE ST            ,CLOSED,PRO  (PRO SERVIC),EXEMPTION,2021/06/08 00:00:00+00,26390,12740,1706,MCGILL ASSOCIATES PA,2510
2512,92200147,HEATING AND COOLING PREVENTATIVE MAINTENANCE      ,POSTED,GS   (GEN SERV),,2021/08/25 00:00:00+00,3021,3021,1188,M B HAYNES CORPORATION,2511
2513,92100279,DISTRICT SIDEWALK INSTALLATION                    ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,188092.3,188092.3,9262,"MOORE & SONS SITE CONTRACTORS, INC.",2512
2514,91200332,TILE WORK FOR MUNICIPAL BLDG                      ,CLOSED,GS   (GEN SERV),,2012/08/14 00:00:00+00,8950,8950,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,2513
2515,92100066,REPAIRS TO NORTH FORK BREEZEWAY - CHANGE ORDER #1 ,POSTED,CON  (CONSTUCT/R),,2021/08/20 00:00:00+00,35721.79,40920.52,23176,HARPER CORPORATION - GENERAL CONTRACTORS,2514
2516,91700041,FIREFIGHTER PHYSICALS                             ,CLOSED,GS   (GEN SERV),,2018/02/13 00:00:00+00,60000,45325,25047,"FLETCHER HOSPITAL, INC, DBA  ADVENTHEALTH  HENDERS",2515
2517,92000425,PURCHASE OF TIME CLOCKS FOR THE HCCA              ,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,9135,9135,34185,ACUMEN DATA SYSTEMS INC.,2516
2518,91100283,BC 10 STAGE CREW                                  ,CLOSED,GS   (GEN SERV),,2010/08/03 00:00:00+00,645,645,6653,MICHAEL RYMELL,2517
2519,91600134,CWRAR DEQ SO AND GREENWORKS - EDUCATION OUTREACH  ,CLOSED,GS   (GEN SERV),,2016/06/07 00:00:00+00,2750,2750,2142,ASHEVILLE GREENWORKS,2518
2520,91100397,                                                  ,CLOSED,GS   (GEN SERV),,2011/06/20 00:00:00+00,1200,3650,10005,"GRAGG, KATHLEEN",2519
